,DFS_Count,DFS_Time,BFS_Count,BFS_Time
5,3,0.003020763397216797,3,0.002992868423461914
10,1,0.0010013580322265625,1,0.0009927749633789062
15,5,0.014096736907958984,4,0.013162374496459961
20,29,0.5918099880218506,16,0.5467197895050049
